UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2016,03,15,21,-6
Acre,120001,Acrelândia,2016,04,16,19,-3
Acre,120001,Acrelândia,2016,05,20,28,-8
Acre,120001,Acrelândia,2016,06,25,24,1
Acre,120001,Acrelândia,2016,07,35,16,19
Acre,120001,Acrelândia,2016,08,24,14,10
Acre,120001,Acrelândia,2016,09,9,10,-1
Acre,120001,Acrelândia,2016,10,7,28,-21
Acre,120001,Acrelândia,2016,11,21,32,-11
Acre,120001,Acrelândia,2016,12,9,22,-13
Acre,120001,Acrelândia,2017,01,2355,2330,25
Acre,120001,Acrelândia,2017,02,12,16,-4
Acre,120001,Acrelândia,2017,03,24,22,2
Acre,120001,Acrelândia,2017,04,11,10,1
Acre,120001,Acrelândia,2017,05,21,20,1
Acre,120001,Acrelândia,2017,06,21,12,9
Acre,120001,Acrelândia,2017,07,19,17,2
Acre,120001,Acrelândia,2017,08,23,21,2
Acre,120001,Acrelândia,2017,09,5,6,-1
Acre,120001,Acrelândia,2017,10,16,17,-1
Acre,120001,Acrelândia,2017,11,9,20,-11
Acre,120001,Acrelândia,2017,12,11,4,7
Acre,120001,Acrelândia,2018,01,14,18,-4
Acre,120001,Acrelândia,2018,02,10,24,-14
Acre,120001,Acrelândia,2018,03,31,26,5
Acre,120001,Acrelândia,2018,04,25,15,10
Acre,120001,Acrelândia,2018,05,11,18,-7
Acre,120001,Acrelândia,2018,06,23,13,10
Acre,120001,Acrelândia,2018,07,4,10,-6
Acre,120001,Acrelândia,2018,08,10,19,-9
Acre,120001,Acrelândia,2018,09,31,16,15
Acre,120001,Acrelândia,2018,10,23,28,-5
Acre,120001,Acrelândia,2018,11,11,22,-11
Acre,120001,Acrelândia,2018,12,7,4,3
Acre,120001,Acrelândia,2019,01,8,11,-3
Acre,120001,Acrelândia,2019,02,7,7,0
Acre,120001,Acrelândia,2019,03,12,32,-20
Acre,120001,Acrelândia,2019,04,20,27,-7
Acre,120001,Acrelândia,2019,05,15,13,2
Acre,120001,Acrelândia,2019,06,20,26,-6
Acre,120001,Acrelândia,2019,07,27,24,3
Acre,120001,Acrelândia,2019,08,19,21,-2
Acre,120001,Acrelândia,2019,09,21,24,-3
Acre,120001,Acrelândia,2019,10,15,14,1
Acre,120001,Acrelândia,2019,11,29,23,6
Acre,120001,Acrelândia,2019,12,9,14,-5
